model,split,roc_auc,average_precision,accuracy,precision,recall,f1
dummy_prior,validation,0.5,0.079,0.921,0.0,0.0,0.0
logistic_regression,validation,0.7315,0.1918,0.6833,0.1453,0.616,0.2351
random_forest,validation,0.7234,0.1931,0.815,0.1954,0.4304,0.2688
random_forest,test,0.7471,0.1973,0.81,0.1967,0.4557,0.2748
