HOUR_APPR_PROCESS_START,mae
2,0.4359399283235576
3,0.4703428689063462
4,0.43986384294436165
5,0.36899759961303585
6,0.400636023122774
7,0.40032511045525404
8,0.377193078787133
9,0.3719342659230639
10,0.36763790861044804
11,0.36618283384289657
12,0.37702343745837774
13,0.36831154165365465
14,0.3648487270414008
15,0.35899722818127555
16,0.3669012900500173
17,0.3621572173122932
18,0.3269217435009172
19,0.3447306187193922
20,0.38822915354317594
21,0.4096840155040373
22,0.3660397445603638
23,0.5622829571697572
